image,resolution,number_of_pixels,compression_rate,pixel_group_quantity,pixel_group_quantity_per_thread,threads,time
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,4194304,1,23.7996
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,2097152,2,16.7914
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,1048576,4,12.7467
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,699050,6,11.0091
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,524288,8,10.9131
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,419430,10,11.1514
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,349525,12,10.9255
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,299593,14,10.5886
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,262144,16,10.8148
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,233016,18,10.1596
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,209715,20,11.5292
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,190650,22,10.4686
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,174762,24,11.1295
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,161319,26,10.7186
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,149796,28,10.0957
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,139810,30,10.5827
../images/compression/img_01.tiff,4096x4096,16777216,low,4194304,131072,32,10.4795
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,1048576,1,13.4406
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,524288,2,10.0908
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,262144,4,7.54587
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,174762,6,6.85772
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,131072,8,6.56853
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,104857,10,6.8581
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,87381,12,5.76005
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,74898,14,5.77644
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,65536,16,5.72062
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,58254,18,6.04929
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,52428,20,5.67411
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,47662,22,6.37874
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,43690,24,6.39704
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,40329,26,5.68554
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,37449,28,5.59279
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,34952,30,5.66222
../images/compression/img_01.tiff,4096x4096,16777216,medium,1048576,32768,32,5.61021
../images/compression/img_01.tiff,4096x4096,16777216,high,262144,262144,1,8.29008
../images/compression/img_01.tiff,4096x4096,16777216,high,262144,131072,2,5.87373
../images/compression/img_01.tiff,4096x4096,16777216,high,262144,65536,4,4.63223
