Image,Author,Link
images/filters/img_01.jpg,Horst J. Meuter,https://commons.wikimedia.org/wiki/File:Surreal.jpg
images/filters/img_02.jpg,Joebigwheel,https://commons.wikimedia.org/wiki/File:Fabrice_de_Nola_-_Negative_photography.jpg
images/filters/img_03.jpg,FlickrLickr,"https://commons.wikimedia.org/wiki/File:Domkerk,_Utrecht.jpg"
images/filters/img_04.jpg,Famberhorst,https://commons.wikimedia.org/wiki/File:Eucomis_kuiflelie._07-06-2023._(d.j.b).jpg
images/filters/img_05.jpg,Anowar5,https://commons.wikimedia.org/wiki/File:Wn%C4%99trze_plebanii_w_Klebarku_Wielkim_nr_2_aw5.jpg
images/filters/img_06.jpg,Mariordo,https://commons.wikimedia.org/wiki/File:Monumento_Nacional_de_Costa_Rica_SJO_01_2020_4049.jpg
images/filters/img_00.jpg,Mbuechter,https://www.compo.de/dam/jcr:fdbba870-e002-430c-8b2e-c635fcc8074e/sunflower-bee_sonneblume-biene.jpg?x=50&y=50
images/compression/img_01.tiff,Sample Files,https://getsamplefiles.com/sample-image-files/tiff
images/compression/img_02.tiff,Sample Files,https://getsamplefiles.com/sample-image-files/tiff
images/compression/img_03.tiff,Sample Files,https://getsamplefiles.com/sample-image-files/tiff
images/compression/img_04.tiff,Sample Files,https://getsamplefiles.com/sample-image-files/tiff
images/compression/img_05.tiff,Sample Files,https://getsamplefiles.com/sample-image-files/tiff
